job;marital;education;default;housing;loan;month;day_of_week;campaign;cons.conf.idx;euribor3m;nr.employed;y;log_age;log_duration
0;0;0;0;0;0;0;0;2;-46.2;1.313;5099.1;0;3.4011973816621555;6.18826412308259
1;1;1;0;1;0;0;0;4;-36.4;4.855;5191.0;0;3.6635616461296463;5.846438775057725
1;0;1;0;0;0;1;1;1;-41.8;4.962;5228.1;0;3.2188758248682006;5.424950017481403
1;0;0;0;2;1;1;0;3;-41.8;4.959;5228.1;0;3.6375861597263857;2.833213344056216
2;0;2;0;0;0;2;2;1;-42.0;4.191;5195.8;0;3.8501476017100584;4.060443010546419
2;1;2;0;0;0;3;2;4;-37.5;0.879;4963.6;0;3.4657359027997265;5.66988092298052
3;0;2;1;0;0;2;2;2;-42.0;4.191;5195.8;0;3.713572066704308;3.784189633918261
1;2;3;0;1;0;2;3;1;-42.0;4.153;5195.8;0;3.4339872044851463;4.219507705176107
0;0;0;1;1;0;0;4;1;-36.4;4.855;5191.0;0;3.5553480614894135;5.135798437050262
1;1;4;1;0;0;4;4;1;-42.7;4.958;5228.1;0;3.2188758248682006;5.707110264748875
4;1;5;0;1;0;4;4;1;-42.7;4.968;5228.1;0;3.58351893845611;4.997212273764115
2;0;1;0;1;0;0;1;2;-36.4;4.859;5191.0;0;3.58351893845611;4.574710978503383
0;0;5;0;0;0;1;4;2;-41.8;4.958;5228.1;0;3.8501476017100584;5.351858133476067
2;1;1;0;1;0;0;0;2;-46.2;1.313;5099.1;0;3.367295829986474;6.315358001522335
1;1;2;0;1;0;4;1;2;-42.7;4.963;5228.1;0;3.295836866004329;6.548219102762372
2;2;2;0;1;0;4;1;6;-42.7;4.957;5228.1;0;3.784189633918261;5.25227342804663
2;2;2;0;0;0;4;2;4;-42.7;4.962;5228.1;0;3.828641396489095;4.07753744390572
3;0;2;1;0;2;5;2;2;-36.1;4.965;5228.1;0;3.8066624897703196;3.6375861597263857
0;0;5;0;1;2;4;3;1;-42.7;4.961;5228.1;1;3.912023005428146;6.744059186311348
1;0;4;1;0;0;4;3;6;-42.7;4.962;5228.1;0;4.007333185232471;5.786897381366708
5;1;2;0;0;2;5;1;3;-36.1;4.967;5228.1;0;3.367295829986474;6.439350371100098
6;0;1;0;1;2;5;1;1;-36.1;4.965;5228.1;0;3.6888794541139363;4.77912349311153
5;0;3;1;0;0;0;0;7;-36.4;4.864;5191.0;0;3.784189633918261;5.961005339623274
5;0;3;0;0;0;5;2;1;-36.1;4.965;5228.1;1;3.6375861597263857;6.171700597410915
5;2;3;0;1;0;0;1;1;-36.4;4.856;5191.0;0;3.58351893845611;6.100318952020064
0;0;4;1;1;0;0;2;2;-46.2;1.299;5099.1;0;3.332204510175204;4.219507705176107
2;1;6;1;1;0;0;4;1;-36.4;4.86;5191.0;0;3.8501476017100584;4.844187086458591
2;0;2;0;1;0;5;3;1;-36.1;4.963;5228.1;0;3.5263605246161616;4.6913478822291435
5;0;2;0;0;2;6;3;1;-50.0;1.687;5099.1;0;3.6375861597263857;4.727387818712341
1;0;1;1;0;0;1;2;3;-41.8;4.865;5228.1;0;3.4965075614664802;5.973809611869261
5;1;2;0;1;0;1;0;2;-40.8;1.268;5076.2;0;3.9318256327243257;5.017279836814924
0;1;5;1;0;0;1;3;1;-41.8;4.864;5228.1;0;3.4011973816621555;5.545177444479562
5;0;2;0;1;0;5;4;7;-36.1;4.962;5228.1;0;3.871201010907891;3.7376696182833684
0;1;0;0;0;0;1;1;1;-41.8;4.864;5228.1;0;3.332204510175204;6.263398262591624
0;0;4;0;0;0;0;1;1;-36.4;4.859;5191.0;0;3.58351893845611;4.04305126783455
6;2;1;0;1;0;2;1;1;-42.0;4.12;5195.8;0;3.828641396489095;6.212606095751519
5;1;6;0;0;0;0;1;1;-46.2;1.334;5099.1;0;3.4339872044851463;4.430816798843313
1;0;1;1;0;0;0;3;1;-46.2;1.344;5099.1;0;3.5553480614894135;3.4339872044851463
0;0;0;1;2;1;1;0;1;-41.8;4.967;5228.1;0;3.6375861597263857;6.063785208687608
7;0;2;0;1;0;5;4;1;-38.3;0.899;4991.6;0;4.330733340286331;4.836281906951478
3;2;3;0;0;0;4;3;3;-42.7;4.961;5228.1;0;3.8066624897703196;5.351858133476067
8;0;5;0;0;2;0;0;1;-46.2;1.313;5099.1;0;3.4657359027997265;5.8289456176102075
6;1;2;1;1;0;0;4;2;-46.2;1.327;5099.1;0;3.6635616461296463;6.021023349349527
2;0;2;0;1;0;2;4;1;-42.0;4.592;5195.8;0;3.4657359027997265;4.882801922586371
2;1;0;0;1;0;0;2;2;-46.2;1.299;5099.1;0;3.367295829986474;4.3694478524670215
1;0;3;0;1;0;5;2;2;-36.1;4.97;5228.1;0;3.784189633918261;5.831882477283517
1;0;1;0;1;2;4;0;3;-42.7;4.957;5228.1;0;3.4657359027997265;5.056245805348308
0;0;0;0;0;0;0;4;1;-46.2;1.327;5099.1;0;3.4965075614664802;5.572154032177765
6;0;1;0;1;0;5;0;3;-36.1;4.966;5228.1;0;3.6635616461296463;5.3706380281276624
2;1;2;0;0;0;0;4;1;-46.2;1.327;5099.1;0;3.4965075614664802;4.962844630259907
3;2;2;0;1;0;1;4;2;-41.8;4.866;5228.1;0;4.060443010546419;3.6888794541139363
2;0;2;0;0;0;5;4;1;-36.1;4.964;5228.1;0;3.4339872044851463;4.727387818712341
2;0;2;0;1;0;0;1;5;-36.4;4.857;5191.0;0;3.295836866004329;5.25227342804663
2;2;3;0;0;0;3;1;1;-37.5;0.886;4963.6;1;4.0943445622221;6.175867270105761
0;0;0;0;0;0;0;1;2;-46.2;1.334;5099.1;0;3.6109179126442243;5.318119993844216
1;0;1;0;0;0;7;2;1;-47.1;1.405;5099.1;0;3.828641396489095;5.19295685089021
0;2;4;0;0;0;0;1;2;-46.2;1.281;5099.1;0;3.7376696182833684;2.772588722239781
2;1;2;0;0;0;4;2;3;-42.7;4.96;5228.1;0;3.5553480614894135;6.102558594613569
5;2;6;0;0;2;8;4;1;-26.9;0.754;5017.5;0;3.8918202981106265;4.394449154672439
1;2;1;0;1;2;1;2;3;-41.8;4.865;5228.1;0;3.367295829986474;5.8888779583328805
4;0;2;0;1;0;0;0;1;-46.2;1.313;5099.1;0;3.6109179126442243;5.978885764901122
5;1;3;1;1;0;1;2;4;-41.8;4.865;5228.1;1;3.6635616461296463;6.068425588244111
1;0;1;1;0;0;4;2;3;-42.7;4.962;5228.1;1;3.9318256327243257;6.39024066706535
2;1;1;0;0;0;0;3;3;-46.2;1.291;5099.1;0;3.332204510175204;4.07753744390572
6;0;2;0;0;0;0;1;4;-46.2;1.281;5099.1;0;3.5263605246161616;4.343805421853684
5;1;1;0;0;2;5;3;1;-36.1;4.966;5228.1;1;3.4339872044851463;6.643789733147672
2;0;2;0;0;0;5;4;5;-36.1;4.962;5228.1;0;3.4339872044851463;4.564348191467836
2;1;2;0;0;0;1;1;2;-41.8;4.864;5228.1;0;3.4339872044851463;5.877735781779639
4;1;2;0;1;0;0;4;2;-36.4;4.855;5191.0;0;3.6375861597263857;6.129050210060545
9;0;0;0;1;0;1;0;6;-41.8;4.959;5228.1;0;3.4965075614664802;2.3978952727983707
5;0;3;1;0;0;7;2;1;-47.1;1.405;5099.1;0;3.9889840465642745;6.548219102762372
2;2;1;0;0;0;1;3;2;-41.8;4.961;5228.1;0;3.713572066704308;5.318119993844216
1;0;5;1;1;0;5;4;7;-36.1;4.963;5228.1;0;4.07753744390572;4.532599493153256
3;2;2;0;0;0;2;4;1;-42.0;4.076;5195.8;0;3.6375861597263857;5.529429087511423
2;0;2;0;0;0;0;3;1;-36.4;4.857;5191.0;0;3.828641396489095;5.062595033026967
9;1;2;0;0;2;2;3;1;-42.0;4.153;5195.8;0;3.6109179126442243;4.553876891600541
1;1;0;0;2;1;1;4;3;-41.8;4.961;5228.1;1;3.8501476017100584;6.727431724850855
2;1;2;0;1;0;5;4;1;-36.1;4.964;5228.1;1;3.8066624897703196;6.22455842927536
0;0;4;0;0;0;4;1;1;-42.7;4.962;5228.1;0;3.58351893845611;2.772588722239781
9;1;1;0;0;0;4;2;5;-42.7;4.96;5228.1;0;3.6888794541139363;5.703782474656201
0;0;0;0;1;0;2;3;2;-42.0;4.153;5195.8;0;3.6375861597263857;5.19295685089021
0;0;1;1;1;0;1;3;2;-41.8;4.961;5228.1;0;3.784189633918261;5.966146739123692
4;0;2;0;0;0;0;0;2;-36.4;4.857;5191.0;0;3.2188758248682006;5.6131281063880705
0;1;4;0;0;0;4;3;5;-42.7;4.961;5228.1;0;3.4011973816621555;4.90527477843843
6;0;3;0;1;0;2;3;2;-42.0;4.153;5195.8;0;3.7612001156935624;5.54907608489522
7;0;4;1;1;0;0;2;3;-36.4;4.857;5191.0;0;4.060443010546419;5.5909869805108565
5;0;3;0;0;0;0;1;6;-36.4;4.856;5191.0;0;3.4339872044851463;5.056245805348308
6;0;2;0;1;0;4;3;2;-42.7;4.961;5228.1;0;3.970291913552122;6.1675164908883415
2;0;6;0;1;0;5;3;1;-36.1;4.968;5228.1;0;3.9512437185814275;4.51085950651685
6;0;2;1;1;2;7;0;1;-47.1;1.405;5099.1;0;3.6109179126442243;4.330733340286331
2;0;1;1;0;0;4;3;1;-42.7;4.961;5228.1;0;4.060443010546419;4.634728988229636
1;0;1;0;0;2;0;4;3;-46.2;1.266;5099.1;0;3.6109179126442243;6.077642243349034
